Vb-droof,FALSE,,,,,,,,,,,,,,,,,,,
Vb-dfloor,FALSE,,,,,,,,,,,,,,,,,,,
Sd-Sa,TRUE,,,,,,,,,,,,,,,,,,,
Periods [s],1.52,1.63,1.25,1.43,1.05,1.34,1.02,1.33,1.23,1.43,1.7,0.99,1.42,1.02,1.24,1.35,1.82,1.17,1.73,1.14
Heigths [m],6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Gamma participation factors,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
Sdy [m],0.0821,0.0972,0.0533,0.0582,0.063,0.0311,0.0699,0.176,0.0626,0.0606,0.0651,0.151,0.123,0.0517,0.0824,0.0578,0.17,0.0775,0.0947,0.0827
Say [g],0.143,0.14723,0.13728,0.11454,0.22996,0.0697,0.27038,0.40041,0.16652,0.11926,0.09065,0.61627,0.24548,0.19998,0.21566,0.12763,0.20654,0.22784,0.12734,0.25609
Sd1 [m],0,0.0821,0.238,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.143,0.143,,,,,,,,,,,,,,,,,
Sd2 [m],0,0.0972,0.264,,,,,,,,,,,,,,,,,
Sa2 [g],0,0.14723,0.14723,,,,,,,,,,,,,,,,,
Sd3 [m],0,0.0533,0.0964,,,,,,,,,,,,,,,,,
Sa3 [g],0,0.13728,0.13728,,,,,,,,,,,,,,,,,
Sd4 [m],0,0.0582,0.12,,,,,,,,,,,,,,,,,
Sa4 [g],0,0.11454,0.11454,,,,,,,,,,,,,,,,,
Sd5 [m],0,0.063,0.218,,,,,,,,,,,,,,,,,
Sa5 [g],0,0.22996,0.22996,,,,,,,,,,,,,,,,,
Sd6 [m],0,0.0311,0.0983,,,,,,,,,,,,,,,,,
Sa6 [g],0,0.0697,0.0697,,,,,,,,,,,,,,,,,
Sd7 [m],0,0.0699,0.168,,,,,,,,,,,,,,,,,
Sa7 [g],0,0.27038,0.27038,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.176,0.33,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.40041,0.40041,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0626,0.147,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.16652,0.16652,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0606,0.153,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.11926,0.11926,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0651,0.0924,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.09065,0.09065,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.151,0.318,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.61627,0.61627,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.123,0.272,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.24548,0.24548,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0517,0.224,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.19998,0.19998,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0824,0.138,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.21566,0.21566,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0578,0.156,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.12763,0.12763,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.17,0.261,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.20654,0.20654,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0775,0.154,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.22784,0.22784,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0947,0.279,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.12734,0.12734,,,,,,,,,,,,,,,,,
Sd1 [m],0,0.0827,0.175,,,,,,,,,,,,,,,,,
Sa1 [g],0,0.25609,0.25609,,,,,,,,,,,,,,,,,
